state,year,hate_crime
AK,2016,2
AK,2017,2
AK,2018,2
AK,2019,3
AK,2020,3
AL,2016,8
AL,2017,2
AL,2018,0
AL,2019,0
AL,2020,15
AR,2016,7
AR,2017,6
AR,2018,8
AR,2019,7
AR,2020,26
AZ,2016,83
AZ,2017,76
AZ,2018,48
AZ,2019,81
AZ,2020,108
CA,2016,318
CA,2017,458
CA,2018,454
CA,2019,451
CA,2020,591
CO,2016,39
CO,2017,23
CO,2018,33
CO,2019,84
CO,2020,109
CT,2016,23
CT,2017,44
CT,2018,34
CT,2019,26
CT,2020,29
DC,2016,45
DC,2017,80
DC,2018,96
DC,2019,60
DC,2020,45
DE,2016,7
DE,2017,3
DE,2018,7
DE,2019,6
DE,2020,9
FL,2016,47
FL,2017,50
FL,2018,65
FL,2019,24
FL,2020,27
GA,2016,12
GA,2017,8
GA,2018,19
GA,2019,25
GA,2020,69
IA,2016,5
IA,2017,4
IA,2018,5
IA,2019,4
IA,2020,6
ID,2016,8
ID,2017,16
ID,2018,7
ID,2019,11
ID,2020,11
IL,2016,62
IL,2017,25
IL,2018,36
IL,2019,22
IL,2020,23
IN,2016,32
IN,2017,33
IN,2018,30
IN,2019,30
IN,2020,90
KS,2016,21
KS,2017,37
KS,2018,21
KS,2019,35
KS,2020,51
KY,2016,80
KY,2017,58
KY,2018,93
KY,2019,78
KY,2020,52
LA,2016,8
LA,2017,8
LA,2018,13
LA,2019,15
LA,2020,32
MA,2016,129
MA,2017,112
MA,2018,78
MA,2019,128
MA,2020,155
MD,2016,5
MD,2017,24
MD,2018,6
MD,2019,3
MD,2020,18
ME,2016,8
ME,2017,10
ME,2018,4
ME,2019,6
ME,2020,47
MI,2016,96
MI,2017,166
MI,2018,155
MI,2019,182
MI,2020,144
MN,2016,32
MN,2017,53
MN,2018,39
MN,2019,82
MN,2020,67
MO,2016,29
MO,2017,28
MO,2018,17
MO,2019,31
MO,2020,62
MS,2016,9
MS,2017,21
MS,2018,3
MS,2019,10
MS,2020,14
MT,2016,9
MT,2017,8
MT,2018,6
MT,2019,13
MT,2020,11
NB,2016,9
NB,2017,16
NB,2018,21
NB,2019,10
NB,2020,45
NC,2016,52
NC,2017,74
NC,2018,36
NC,2019,79
NC,2020,145
ND,2016,3
ND,2017,11
ND,2018,3
ND,2019,7
ND,2020,1
NH,2016,20
NH,2017,6
NH,2018,4
NH,2019,8
NH,2020,10
NJ,2016,110
NJ,2017,212
NJ,2018,225
NJ,2019,303
NJ,2020,452
NM,2016,7
NM,2017,3
NM,2018,27
NM,2019,13
NM,2020,16
NV,2016,14
NV,2017,2
NV,2018,17
NV,2019,22
NV,2020,32
NY,2016,246
NY,2017,196
NY,2018,220
NY,2019,231
NY,2020,195
OH,2016,155
OH,2017,80
OH,2018,154
OH,2019,81
OH,2020,239
OK,2016,13
OK,2017,12
OK,2018,6
OK,2019,5
OK,2020,27
OR,2016,46
OR,2017,36
OR,2018,40
OR,2019,39
OR,2020,126
PA,2016,23
PA,2017,26
PA,2018,24
PA,2019,11
PA,2020,43
RI,2016,1
RI,2017,4
RI,2018,4
RI,2019,3
RI,2020,3
SC,2016,5
SC,2017,30
SC,2018,17
SC,2019,23
SC,2020,50
SD,2016,6
SD,2017,4
SD,2018,9
SD,2019,6
SD,2020,6
TN,2016,46
TN,2017,58
TN,2018,31
TN,2019,43
TN,2020,59
TX,2016,57
TX,2017,89
TX,2018,103
TX,2019,147
TX,2020,265
UT,2016,25
UT,2017,12
UT,2018,15
UT,2019,20
UT,2020,28
VA,2016,37
VA,2017,63
VA,2018,52
VA,2019,38
VA,2020,65
VT,2016,5
VT,2017,7
VT,2018,14
VT,2019,14
VT,2020,25
WA,2016,132
WA,2017,220
WA,2018,158
WA,2019,203
WA,2020,172
WI,2016,15
WI,2017,7
WI,2018,31
WI,2019,28
WI,2020,85
WV,2016,13
WV,2017,19
WV,2018,55
WV,2019,27
WV,2020,45
WY,2016,2
WY,2017,2
WY,2018,0
WY,2019,4
WY,2020,10
FS,2016,0
FS,2017,2
FS,2018,30
FS,2019,24
FS,2020,50
HI,2016,0
HI,2017,0
HI,2018,20
HI,2019,5
HI,2020,14
